transaction_id,date,customer_id,segment,branch,product,transaction_type,category,amount,status
TXN000001,2024-05-19,CUS0096,Retail,Ipoh,Credit Card,Payment,Bill Payment,463.1,Completed
TXN000002,2024-12-08,CUS0200,SME,Johor Bahru,Credit Card,Payment,Merchant Payment,1165.49,Completed
TXN000003,2024-11-14,CUS0078,Retail,Johor Bahru,Personal Loan,Payment,Bill Payment,931.56,Completed
TXN000004,2024-10-15,CUS0093,Wealth Management,Penang,Savings Account,Payment,E-wallet Top Up,10016.67,Completed
TXN000005,2024-08-24,CUS0046,Wealth Management,Penang,Current Account,Payment,Bill Payment,1460.62,Completed
TXN000006,2024-04-18,CUS0105,SME,Johor Bahru,Credit Card,Payment,Merchant Payment,4731.77,Completed
TXN000007,2024-08-03,CUS0116,Wealth Management,Kuala Lumpur,Fixed Deposit,Payment,Merchant Payment,36064.78,Completed
TXN000008,2024-10-03,CUS0053,Retail,Ipoh,Savings Account,Payment,Bill Payment,286.6,Failed
TXN000009,2024-11-28,CUS0143,Retail,Petaling Jaya,Savings Account,Transfer,IBG Transfer,270.48,Completed
TXN000010,2024-05-06,CUS0082,SME,Johor Bahru,Current Account,Deposit,Salary Credit,6789.52,Completed
TXN000011,2024-05-02,CUS0188,SME,Johor Bahru,Current Account,Loan Repayment,Home Loan,1483.86,Completed
TXN000012,2024-04-21,CUS0096,Retail,Ipoh,Credit Card,Deposit,Online Transfer In,14621.54,Completed
TXN000013,2024-11-06,CUS0168,SME,Petaling Jaya,Personal Loan,Transfer,IBG Transfer,22896.76,Pending
TXN000014,2024-06-08,CUS0131,SME,Penang,Savings Account,Deposit,Salary Credit,336.22,Completed
TXN000015,2024-12-12,CUS0010,Retail,Petaling Jaya,Credit Card,Transfer,Interbank Transfer,464.78,Completed
TXN000016,2024-10-30,CUS0095,Wealth Management,Ipoh,Current Account,Withdrawal,ATM Withdrawal,755.91,Completed
TXN000017,2024-11-03,CUS0058,Wealth Management,Petaling Jaya,Savings Account,Transfer,Interbank Transfer,5639.83,Completed
TXN000018,2024-06-26,CUS0153,SME,Kuala Lumpur,Personal Loan,Loan Repayment,Home Loan,5847.18,Completed
TXN000019,2024-09-16,CUS0144,SME,Penang,Fixed Deposit,Transfer,IBG Transfer,45640.76,Completed
TXN000020,2024-02-24,CUS0132,SME,Petaling Jaya,Credit Card,Payment,Merchant Payment,2215.75,Pending
TXN000021,2024-03-19,CUS0199,Retail,Penang,Credit Card,Payment,E-wallet Top Up,1250.59,Completed
TXN000022,2024-05-18,CUS0184,SME,Ipoh,Personal Loan,Loan Repayment,Personal Loan,3972.1,Completed
TXN000023,2024-08-26,CUS0153,SME,Kuala Lumpur,Credit Card,Loan Repayment,Car Loan,49474.72,Completed
TXN000024,2024-06-14,CUS0126,Wealth Management,Johor Bahru,Current Account,Loan Repayment,Car Loan,46228.99,Completed
TXN000025,2024-08-18,CUS0035,SME,Petaling Jaya,Current Account,Deposit,Cash Deposit,538.28,Completed
TXN000026,2024-12-08,CUS0122,SME,Penang,Credit Card,Loan Repayment,Personal Loan,805.51,Completed
TXN000027,2024-04-03,CUS0109,Retail,Ipoh,Credit Card,Payment,Merchant Payment,819.42,Completed
TXN000028,2024-05-23,CUS0040,SME,Kuala Lumpur,Personal Loan,Transfer,DuitNow Transfer,705.89,Completed
TXN000029,2024-01-06,CUS0136,SME,Kuala Lumpur,Personal Loan,Transfer,Interbank Transfer,658.47,Pending
TXN000030,2024-07-27,CUS0085,Retail,Petaling Jaya,Credit Card,Deposit,Salary Credit,8512.0,Completed
TXN000031,2024-11-26,CUS0005,Wealth Management,Johor Bahru,Credit Card,Withdrawal,Cash Withdrawal,2324.24,Completed
TXN000032,2024-05-30,CUS0057,Retail,Johor Bahru,Current Account,Deposit,Salary Credit,335.28,Completed
TXN000033,2024-12-05,CUS0077,Wealth Management,Kuala Lumpur,Personal Loan,Withdrawal,Cash Withdrawal,71266.4,Completed
TXN000034,2024-06-25,CUS0149,Retail,Kuala Lumpur,Credit Card,Loan Repayment,Personal Loan,851.43,Failed
TXN000035,2024-06-29,CUS0185,Retail,Johor Bahru,Credit Card,Loan Repayment,Car Loan,467.76,Completed
TXN000036,2024-03-02,CUS0006,Retail,Kuala Lumpur,Current Account,Transfer,IBG Transfer,314.65,Completed
TXN000037,2024-04-04,CUS0133,Wealth Management,Kuala Lumpur,Current Account,Loan Repayment,Personal Loan,2193.28,Completed
TXN000038,2024-10-28,CUS0141,Retail,Johor Bahru,Personal Loan,Payment,Merchant Payment,2337.24,Completed
TXN000039,2024-05-31,CUS0017,Wealth Management,Ipoh,Current Account,Deposit,Salary Credit,32608.66,Completed
TXN000040,2024-12-28,CUS0084,Retail,Ipoh,Personal Loan,Transfer,IBG Transfer,17571.67,Completed
TXN000041,2024-10-10,CUS0124,Retail,Kuala Lumpur,Fixed Deposit,Deposit,Salary Credit,3767.53,Completed
TXN000042,2024-02-22,CUS0175,Wealth Management,Johor Bahru,Savings Account,Withdrawal,Cash Withdrawal,1293.96,Completed
TXN000043,2024-08-13,CUS0128,Retail,Petaling Jaya,Fixed Deposit,Payment,Merchant Payment,609.22,Completed
TXN000044,2024-09-01,CUS0146,SME,Ipoh,Savings Account,Deposit,Cash Deposit,476.52,Completed
TXN000045,2024-02-07,CUS0002,Wealth Management,Penang,Personal Loan,Payment,Merchant Payment,6180.68,Completed
TXN000046,2024-03-17,CUS0194,Retail,Johor Bahru,Personal Loan,Deposit,Salary Credit,191.1,Pending
TXN000047,2024-03-01,CUS0200,SME,Johor Bahru,Personal Loan,Deposit,Salary Credit,4044.38,Completed
TXN000048,2024-11-12,CUS0049,Wealth Management,Petaling Jaya,Current Account,Loan Repayment,Personal Loan,9339.2,Completed
TXN000049,2024-08-14,CUS0099,Retail,Ipoh,Fixed Deposit,Payment,Merchant Payment,1651.89,Completed
TXN000050,2024-10-18,CUS0012,Retail,Penang,Personal Loan,Payment,Merchant Payment,245.35,Completed
TXN000051,2024-11-16,CUS0035,SME,Petaling Jaya,Current Account,Deposit,Salary Credit,191.49,Completed
TXN000052,2024-05-02,CUS0084,Retail,Ipoh,Current Account,Deposit,Salary Credit,25.54,Completed
TXN000053,2024-07-28,CUS0181,Retail,Johor Bahru,Credit Card,Withdrawal,ATM Withdrawal,979.34,Completed
TXN000054,2024-01-17,CUS0105,SME,Johor Bahru,Current Account,Payment,Merchant Payment,26411.57,Completed
TXN000055,2024-08-20,CUS0080,Retail,Ipoh,Savings Account,Transfer,Interbank Transfer,792.52,Completed
TXN000056,2024-10-28,CUS0053,Retail,Ipoh,Current Account,Transfer,Interbank Transfer,268.04,Completed
TXN000057,2024-11-27,CUS0037,Wealth Management,Ipoh,Current Account,Loan Repayment,Home Loan,400769.92,Pending
TXN000058,2024-01-31,CUS0089,SME,Penang,Current Account,Withdrawal,ATM Withdrawal,3430.82,Completed
TXN000059,2024-10-18,CUS0145,SME,Penang,Fixed Deposit,Loan Repayment,Personal Loan,12022.3,Completed
TXN000060,2024-06-04,CUS0024,Wealth Management,Penang,Credit Card,Payment,E-wallet Top Up,4364.36,Pending
TXN000061,2024-09-09,CUS0042,Wealth Management,Johor Bahru,Credit Card,Loan Repayment,Personal Loan,18117.71,Completed
TXN000062,2024-06-14,CUS0162,Wealth Management,Ipoh,Personal Loan,Deposit,Cash Deposit,95508.69,Completed
TXN000063,2024-12-11,CUS0110,Wealth Management,Penang,Personal Loan,Deposit,Salary Credit,259.15,Completed
TXN000064,2024-05-17,CUS0179,Wealth Management,Ipoh,Personal Loan,Deposit,Online Transfer In,3182.85,Completed
TXN000065,2024-09-22,CUS0074,Retail,Kuala Lumpur,Credit Card,Withdrawal,Cash Withdrawal,332.68,Pending
TXN000066,2024-11-21,CUS0011,SME,Penang,Credit Card,Withdrawal,Cash Withdrawal,5396.29,Pending
TXN000067,2024-07-28,CUS0036,Wealth Management,Ipoh,Fixed Deposit,Payment,Merchant Payment,1632.65,Completed
TXN000068,2024-06-17,CUS0033,Retail,Johor Bahru,Credit Card,Deposit,Salary Credit,609.5,Completed
TXN000069,2024-07-24,CUS0122,SME,Penang,Personal Loan,Transfer,Interbank Transfer,1810.25,Completed
TXN000070,2024-05-09,CUS0086,SME,Johor Bahru,Fixed Deposit,Deposit,Cash Deposit,4703.92,Completed
TXN000071,2024-01-01,CUS0080,Retail,Ipoh,Personal Loan,Payment,E-wallet Top Up,385.27,Completed
TXN000072,2024-09-22,CUS0089,SME,Penang,Fixed Deposit,Deposit,Salary Credit,12092.89,Completed
TXN000073,2024-08-14,CUS0191,Wealth Management,Kuala Lumpur,Savings Account,Payment,E-wallet Top Up,6369.76,Completed
TXN000074,2024-05-27,CUS0104,Wealth Management,Penang,Credit Card,Loan Repayment,Home Loan,11581.21,Completed
TXN000075,2024-01-15,CUS0024,Wealth Management,Penang,Personal Loan,Payment,Bill Payment,533.24,Completed
TXN000076,2024-10-09,CUS0077,Wealth Management,Kuala Lumpur,Savings Account,Withdrawal,Cash Withdrawal,6754.74,Completed
TXN000077,2024-02-28,CUS0126,Wealth Management,Johor Bahru,Credit Card,Deposit,Salary Credit,5932.04,Pending
